occurrenceID,countryCode,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,numberOfRoadkill,year,month,day,roadID,roadType,surveyType,roadLength,initialRoadLatitude,initialRoadLongitude,finalRoadLatitude,finalRoadLongitude,surveyPeriod,startYear,finalYear,firstMonthOfTheYear,lastMonthOfTheYear,surveyFrequency,associatedReferences
d4a9d066-fb19-4c99-85ff-bd79d8005437,BR,Brazil,Ribas do Rio Pardo,-20.4561,-53.7885,WGS84,30,Tapirus terrestris,1,2019,5,7,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
f3f6f67d-4349-4ccf-9f41-a9c9fbbe9b7b,BR,Brazil,Terenos,-20.4576,-55.2388,WGS84,30,Tapirus terrestris,1,2019,11,19,BR262,paved (1 lane),Opportunistic,,,,,,,,,,,,
3e9f9950-7cff-4614-9937-7d765c98d6e6,BR,Brazil,Terenos,-20.4582,-55.2379,WGS84,30,Tapirus terrestris,1,2019,8,27,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
e87877ed-095c-4a07-8645-fa0379776692,BR,Brazil,Anastácio,-20.4582,-55.9938,WGS84,30,Tapirus terrestris,1,2017,3,27,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
840be20b-805e-4641-a455-fb5115e42179,BR,Brazil,Bálsamo,-20.4586,-54.0259,WGS84,30,Tapirus terrestris,1,2018,9,10,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
22ddbd7f-9ee9-4730-a071-2e4b62de7f25,BR,Brazil,Bálsamo,-20.459,-54.0266,WGS84,30,Tapirus terrestris,1,2018,11,20,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
84953291-9660-46aa-9518-adf2f72cf69a,BR,Brazil,Ribas do Rio Pardo,-20.4623,-52.9813,WGS84,30,Tapirus terrestris,1,2020,1,2,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
9e37943b-7295-4d04-a925-9ff8fc1b6003,BR,Brazil,Ribas do Rio Pardo,-20.462,-52.9307,WGS84,30,Tapirus terrestris,1,2017,2,6,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
555d654c-f664-4cbd-af5a-13e8063f9826,BR,Brazil,Ribas do Rio Pardo,-20.4628,-53.3876,WGS84,30,Tapirus terrestris,1,2018,10,22,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
88e1b636-bd48-40f0-ac9d-a4c23cd6550f,BR,Brazil,Ribas do Rio Pardo,-20.4635,-53.3907,WGS84,30,Tapirus terrestris,1,2018,6,20,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
4865dabe-a6f2-4204-abde-da7ab085692e,BR,Brazil,Ribas do Rio Pardo,-20.4646,-53.5143,WGS84,30,Tapirus terrestris,1,2017,11,20,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
a713642f-8336-4d50-a38c-600c30ccacda,BR,Brazil,Bálsamo,-20.4646,-54.0532,WGS84,30,Tapirus terrestris,1,2019,9,23,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
add698b8-f4ff-4b03-a155-36b59230828a,BR,Brazil,Terenos,-20.4647,-55.2267,WGS84,30,Tapirus terrestris,1,2018,3,13,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
e874e988-5798-43ec-8aaa-8d6af006ba7a,BR,Brazil,Ribas do Rio Pardo,-20.4648,-53.6934,WGS84,30,Tapirus terrestris,1,2018,6,20,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
bfadcf32-8a50-4311-be0b-80cd15ac6baf,BR,Brazil,Ribas do Rio Pardo,-20.4653,-53.524,WGS84,30,Tapirus terrestris,1,2018,11,20,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
9023dfe9-9bc0-4ac7-b287-965cd451e7da,BR,Brazil,Ribas do Rio Pardo,-20.4654,-53.4772,WGS84,30,Tapirus terrestris,1,2018,8,31,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
02e43d2c-69ee-4fe6-8a0c-0888aee59668,BR,Brazil,Ribas do Rio Pardo,-20.465,-53.5199,WGS84,30,Tapirus terrestris,1,2018,11,20,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
b0c0d454-3a6a-464e-ae4b-5bf8703d77b9,BR,Brazil,Ribas do Rio Pardo,-20.465,-53.6924,WGS84,30,Tapirus terrestris,1,2019,9,23,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
3cf07e7c-2c49-4827-a3f2-bdac4fbbe46b,BR,Brazil,Ribas do Rio Pardo,-20.4669,-53.5481,WGS84,30,Tapirus terrestris,1,2018,7,3,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
d01911b0-427b-499d-9fd0-8067fb3a9a9a,BR,Brazil,Ribas do Rio Pardo,-20.4677,-53.5593,WGS84,30,Tapirus terrestris,1,2017,8,8,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
4a9c6f06-287f-4f23-abd4-1d95bda87142,BR,Brazil,Ribas do Rio Pardo,-20.4684,-53.5688,WGS84,30,Tapirus terrestris,1,2018,8,13,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
32180ed5-784d-464d-b47f-5ebd33c05349,BR,Brazil,Ribas do Rio Pardo,-20.4692,-52.9508,WGS84,30,Tapirus terrestris,1,2019,10,23,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
f95bdd78-b1af-4670-b656-c9350158c6dd,BR,Brazil,Ribas do Rio Pardo,-20.4693,-52.9452,WGS84,30,Tapirus terrestris,1,2019,4,16,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
ffc2299e-4bba-4296-8923-bd71ded18481,BR,Brazil,Ribas do Rio Pardo,-20.469,-52.9518,WGS84,30,Tapirus terrestris,1,2018,10,9,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
97694ddc-0cd4-45b5-b4d1-9333724b9c8a,BR,Brazil,Ribas do Rio Pardo,-20.4697,-53.5864,WGS84,30,Tapirus terrestris,1,2018,1,3,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
59f73cca-c6a3-46c9-821e-837402c5252d,BR,Brazil,Ribas do Rio Pardo,-20.4724,-53.6251,WGS84,30,Tapirus terrestris,1,2019,11,5,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
