hour,Biome,individual_local_identifier,count,individual_name
5.0,Cerrado,CE_03_LOU,5.0,LOU
5.0,Cerrado,CE_04_TITI,5.0,TITI
5.0,Cerrado,CE_08_COLOMBINA,5.0,COLOMBINA
5.0,Cerrado,CE_09_PANA,5.0,PANA
5.0,Cerrado,CE_10_ELIS,5.0,ELIS
5.0,Cerrado,CE_11_ZACA,5.0,ZACA
5.0,Cerrado,CE_13_SULI,5.0,SULI
5.0,Cerrado,CE_15_KURUKA,5.0,KURUKA
5.0,Cerrado,CE_17_ARNO,5.0,ARNO
5.0,Cerrado,CE_21_ZEMARIA,5.0,ZEMARIA
5.0,Cerrado,CE_22_ZEFA,5.0,ZEFA
5.0,Cerrado,CE_23_CARABI,5.0,CARABI
5.0,Cerrado,CE_25_SEGRE,5.0,SEGRE
5.0,Cerrado,CE_27_DONALINA,5.0,DONALINA
5.0,Cerrado,CE_28_ZIGGY,5.0,ZIGGY
5.0,Cerrado,CE_31_ANNA,5.0,ANNA
5.0,Cerrado,CE_34_DONACIDA,5.0,DONACIDA
5.0,Pantanal,PA_03_BANDAID,5.0,BANDAID
5.0,Pantanal,PA_05_KELLY,5.0,KELLY
5.0,Pantanal,PA_08_BENJAMIN,5.0,BENJAMIN
5.0,Pantanal,PA_09_SONIAMADALENA,5.0,SONIAMADALENA
5.0,Pantanal,PA_10_VIVEK,5.0,VIVEK
5.0,Pantanal,PA_11_LUIS,5.0,LUIS
5.0,Pantanal,PA_12_FELIPPE,5.0,FELIPPE
5.0,Pantanal,PA_13_RITA,5.0,RITA
5.0,Pantanal,PA_15_MORENA,5.0,MORENA
5.0,Pantanal,PA_16_DORA,5.0,DORA
5.0,Pantanal,PA_18_NIC,5.0,NIC
5.0,Pantanal,PA_19_SERGIAO,5.0,SERGIAO
5.0,Pantanal,PA_20_SY,5.0,SY
5.0,Pantanal,PA_21_CAIO,5.0,CAIO
5.0,Pantanal,PA_22_EMILIO,5.0,EMILIO
5.0,Pantanal,PA_23_RICK,5.0,RICK
5.0,Pantanal,PA_24_LESLIE,5.0,LESLIE
5.0,Pantanal,PA_26_SACHIN,5.0,SACHIN
5.0,Pantanal,PA_28_DUDA,5.0,DUDA
5.0,Pantanal,PA_29_KARIN,5.0,KARIN
5.0,Pantanal,PA_30_NELSAO,5.0,NELSAO
5.0,Pantanal,PA_31_JORDANO,5.0,JORDANO
5.0,Pantanal,PA_33_GABRIELA,5.0,GABRIELA
5.0,Pantanal,PA_34_CARIJO,5.0,CARIJO
5.0,Pantanal,PA_36_MICHELE,5.0,MICHELE
5.0,Pantanal,PA_38_CASSANDRA,5.0,CASSANDRA
5.0,Pantanal,PA_40_MALU,5.0,MALU
5.0,Pantanal,PA_47_MORENINHO,5.0,MORENINHO
5.0,Pantanal,PA_48_TED,5.0,TED
5.0,Pantanal,PA_49_WALLY,5.0,WALLY
5.0,Pantanal,PA_51_MUCCI,5.0,MUCCI
5.0,Pantanal,PA_52_WIE,5.0,WIE
5.0,Pantanal,PA_54_PAULONA,5.0,PAULONA
5.0,Pantanal,PA_58_LIANA,5.0,LIANA
5.0,Pantanal,PA_59_POPEYE,5.0,POPEYE
5.0,Pantanal,PA_61_DOINHO,5.0,DOINHO
5.0,Pantanal,PA_62_PRETINHO,5.0,PRETINHO
