individual,hour,distance_meters,distance_km,num_points,distance_per_point
CE_08_COLOMBINA,20,40995.95493516287,40.995954935162864,45,911.021220781397
CE_08_COLOMBINA,21,31790.167466236904,31.790167466236905,32,993.4427333199033
CE_08_COLOMBINA,22,35015.73513875082,35.01573513875082,32,1094.241723085963
CE_08_COLOMBINA,23,31322.12724905161,31.322127249051608,31,1010.39120158231
CE_09_PANA,0,26511.490721361854,26.511490721361852,21,1262.4519391124693
CE_09_PANA,1,16423.318783779127,16.423318783779127,15,1094.8879189186084
CE_09_PANA,2,10336.551327577636,10.336551327577636,13,795.1193328905873
CE_09_PANA,3,22146.349086549122,22.146349086549122,23,962.8847428934401
CE_09_PANA,4,40077.42334904276,40.07742334904276,55,728.6804245280501
CE_09_PANA,5,38421.24750963917,38.42124750963917,45,853.8055002142038
CE_09_PANA,6,13105.330612997102,13.105330612997102,22,595.6968460453228
CE_09_PANA,7,4149.199345636242,4.149199345636242,8,518.6499182045302
CE_09_PANA,8,2739.5209070009555,2.7395209070009554,5,547.9041814001911
CE_09_PANA,9,1733.4455086163114,1.7334455086163114,4,433.36137715407784
CE_09_PANA,10,2388.4881988016587,2.388488198801659,7,341.2125998288084
CE_09_PANA,11,2519.6636655945185,2.5196636655945186,5,503.9327331189037
CE_09_PANA,12,845.1556487287942,0.8451556487287942,2,422.5778243643971
CE_09_PANA,13,3101.154274268042,3.1011542742680422,5,620.2308548536084
CE_09_PANA,14,743.8649920827933,0.7438649920827932,2,371.93249604139663
CE_09_PANA,15,0.0,0.0,1,0.0
CE_09_PANA,16,3127.562461282526,3.1275624612825257,4,781.8906153206315
CE_09_PANA,17,20875.471410158603,20.875471410158603,29,719.843841729607
CE_09_PANA,18,42455.610601390435,42.45561060139043,58,731.9932862308696
CE_09_PANA,19,39873.41581241801,39.87341581241801,49,813.7431798452656
CE_09_PANA,20,40629.685753034886,40.629685753034884,41,990.9679451959728
CE_09_PANA,21,29418.688077580206,29.418688077580207,30,980.6229359193402
CE_09_PANA,22,36414.258941945984,36.41425894194598,40,910.3564735486495
CE_09_PANA,23,32144.78208226394,32.14478208226394,27,1190.547484528294
CE_10_ELIS,0,12286.639743927744,12.286639743927743,10,1228.6639743927744
CE_10_ELIS,1,10866.65117681239,10.86665117681239,11,987.8773797102172
CE_10_ELIS,2,9696.45336767707,9.69645336767707,10,969.645336767707
CE_10_ELIS,3,7965.212584100323,7.965212584100323,6,1327.5354306833872
CE_10_ELIS,4,18222.193581309526,18.222193581309526,12,1518.5161317757938
CE_10_ELIS,5,20687.690728869246,20.687690728869246,12,1723.9742274057705
CE_10_ELIS,6,20503.54664706785,20.50354664706785,12,1708.6288872556543
CE_10_ELIS,7,5254.891524768947,5.254891524768947,6,875.8152541281579
CE_10_ELIS,8,1006.5103510105832,1.0065103510105833,2,503.2551755052916
CE_10_ELIS,12,955.2481101062097,0.9552481101062097,2,477.6240550531048
CE_10_ELIS,15,0.0,0.0,1,0.0
CE_10_ELIS,17,2720.745837596468,2.720745837596468,3,906.9152791988226
CE_10_ELIS,18,23050.626667462537,23.050626667462538,14,1646.473333390181
CE_10_ELIS,19,17307.733621618463,17.307733621618464,14,1236.2666872584616
CE_10_ELIS,20,8528.626348279979,8.528626348279978,10,852.8626348279979
CE_10_ELIS,21,23219.251880158023,23.219251880158023,18,1289.9584377865567
CE_10_ELIS,22,12350.159270289838,12.350159270289838,11,1122.7417518445307
CE_10_ELIS,23,10456.809617258492,10.456809617258491,10,1045.680961725849
CE_11_ZACA,0,112991.49909912539,112.99149909912539,126,896.757929358138
CE_11_ZACA,1,113998.61908408595,113.99861908408595,127,897.6269219219366
CE_11_ZACA,2,104618.12136002778,104.61812136002779,126,830.3025504764109
CE_11_ZACA,3,90751.30906407611,90.75130906407611,125,726.0104725126089
CE_11_ZACA,4,70747.53495923217,70.74753495923217,123,575.1832110506681
CE_11_ZACA,5,47072.01169366149,47.07201169366149,107,439.92534293141574
CE_11_ZACA,6,39638.79195760199,39.638791957601995,108,367.0258514592777
CE_11_ZACA,7,34673.938761347876,34.67393876134788,100,346.73938761347875
CE_11_ZACA,8,32988.57655055421,32.98857655055421,97,340.0884180469506
CE_11_ZACA,9,33091.26300664103,33.09126300664103,96,344.70065631917737
CE_11_ZACA,10,33239.98242136104,33.23998242136104,97,342.680231148052
CE_11_ZACA,11,35283.72731998036,35.28372731998036,105,336.03549828552724
CE_11_ZACA,12,42853.628908955754,42.853628908955756,116,369.4278354220324
CE_11_ZACA,13,40306.610163973106,40.306610163973104,111,363.1226140898478
CE_11_ZACA,14,35673.94501730562,35.67394501730562,107,333.4013553019217
CE_11_ZACA,15,34482.29119453907,34.48229119453907,104,331.5604922551834
CE_11_ZACA,16,34760.848261230414,34.760848261230414,96,362.0921693878168
CE_11_ZACA,17,40680.79255839625,40.68079255839625,105,387.4361196037738
CE_11_ZACA,18,54212.4481460111,54.2124481460111,116,467.3486909138888
CE_11_ZACA,19,85148.36094017541,85.14836094017541,123,692.2630970745968
CE_11_ZACA,20,108476.35656706723,108.47635656706723,126,860.9234648179938
CE_11_ZACA,21,119060.02948288372,119.06002948288372,125,952.4802358630698
CE_11_ZACA,22,119559.83569596807,119.55983569596806,125,956.4786855677445
CE_11_ZACA,23,118675.17952144398,118.67517952144398,129,919.9626319491781
CE_13_SULI,0,44684.11667604052,44.68411667604052,57,783.9318715094828
CE_13_SULI,1,37659.74840814873,37.65974840814873,55,684.7226983299769
